Date,Open,High,Low,Close,Volume,fng_value,GDELT_Tone,Funding_Rate,Future_15d_Min,Max_Drop_Percent,Target_Crash
2022-08-17,23881.31640625,24407.05859375,23243.353515625,23335.998046875,30931623076,41,-0.6206,3.364e-05,19616.814453125,-0.1593753816005332,1
2022-08-18,23341.0390625,23563.83203125,23177.6015625,23212.73828125,23747613147,30,0.048,8.520666666666668e-05,19616.814453125,-0.15491166033735854,1
2022-08-19,23213.3125,23213.3125,20868.84765625,20877.552734375,40509610260,33,-1.0964,1.787333333333334e-05,19616.814453125,-0.06038726364580978,0
2022-08-20,20872.841796875,21350.806640625,20856.73046875,21166.060546875,27595671000,29,-0.8631,-3.406333333333333e-05,19616.814453125,-0.07319482481489611,0
2022-08-21,21160.392578125,21668.845703125,21103.197265625,21534.12109375,23102307723,27,0.0471,-2.9266666666666665e-05,19616.814453125,-0.08903575085687956,0
2022-08-22,21531.462890625,21531.462890625,20939.18359375,21398.908203125,31666498758,29,-0.4048,-2.428666666666667e-05,18837.66796875,-0.11969022952306362,1
2022-08-23,21401.044921875,21646.203125,20955.138671875,21528.087890625,31878280659,28,-1.8611,-2.1766666666666663e-05,18837.66796875,-0.12497254449832572,1
2022-08-24,21526.455078125,21783.076171875,21195.005859375,21395.01953125,31962253368,25,-1.0537,-1.7939999999999998e-05,18837.66796875,-0.11953022799370107,1
2022-08-25,21395.458984375,21789.63671875,21362.44140625,21600.904296875,31028679593,25,-0.259,2.052e-05,18837.66796875,-0.12792225224222475,1
2022-08-26,21596.0859375,21804.908203125,20199.482421875,20260.01953125,42326789564,27,-0.7882,1.3663333333333334e-05,18837.66796875,-0.07020484656029569,0
2022-08-27,20262.48046875,20340.775390625,19890.5234375,20041.73828125,30116729776,28,-1.5277,-4.498e-05,18837.66796875,-0.06007813771455468,0
2022-08-28,20041.03515625,20139.0546875,19616.814453125,19616.814453125,24366810591,28,-1.6794,-4.199e-05,18837.66796875,-0.039718298107819454,0
2022-08-29,19615.154296875,20357.462890625,19600.78515625,20297.994140625,32637854078,24,-1.145,-9.957333333333332e-05,18837.66796875,-0.07194435872617878,0
2022-08-30,20298.611328125,20542.64453125,19617.640625,19796.80859375,34483360283,27,-1.3064,-2.712e-05,18837.66796875,-0.04844925486135214,0
2022-08-31,19799.58203125,20420.990234375,19799.58203125,20049.763671875,33225232872,23,-1.2534,2.88e-05,18837.66796875,-0.06045436360056847,0
2022-09-01,20050.498046875,20198.390625,19653.96875,20127.140625,30182031010,20,-1.0555,5.095333333333333e-05,18837.66796875,-0.06406636095384265,0
2022-09-02,20126.072265625,20401.568359375,19814.765625,19969.771484375,29123998928,25,-0.4954,3.948666666666667e-05,18837.66796875,-0.056690859808325535,0
2022-09-03,19969.71875,20037.009765625,19698.35546875,19832.087890625,23613051457,21,-1.1625,3.452666666666666e-05,18837.66796875,-0.05014196827682883,0
2022-09-04,19832.470703125,19999.689453125,19636.81640625,19986.712890625,25245861652,20,-1.3303,2.723333333333333e-05,18837.66796875,-0.057490440182085815,0
2022-09-05,19988.7890625,20031.16015625,19673.046875,19812.37109375,28813460025,23,-1.1688,4.089e-05,18837.66796875,-0.04919669232863699,0
2022-09-06,19817.724609375,20155.26953125,18800.171875,18837.66796875,43403978910,22,-0.5318,1.1903333333333332e-05,18547.400390625,-0.015408891302603266,0
2022-09-07,18837.68359375,19427.171875,18644.466796875,19290.32421875,35239757134,24,-0.665,-3.1173333333333335e-05,18547.400390625,-0.03851277042834177,0
